sd_s38,sd_s1000,sd_theta,sd_gamma,sd_beta,fd_totalEnergy,E_CIC,E_ML,err_CIC,err_ML
9.79,10.69,29.35,0.02,-2.22,1.791,1.8511566552238707,1.8594044557180465,0.033588305540966396,0.03819344261197462
4.0,4.24,33.91,0.02,-2.11,0.842,0.7530440735811633,0.7706085019703921,-0.10564836866845208,-0.08478800241046065
6.62,5.29,49.46,0.13,-1.83,1.317,1.2493608078761267,1.2428164402405735,-0.05135853616087568,-0.05632768394793203
4.16,4.4,31.83,0.03,-2.14,0.956,0.7833159923577964,0.7841323023331863,-0.18063180715711674,-0.1797779264297214
5.34,5.52,34.0,0.02,-2.13,0.969,1.0067346426870056,1.0331574047646628,0.038941839718272094,0.06620991203783572
15.22,16.24,24.01,0.03,-2.3,2.979,2.884110068900034,2.8320856059133246,-0.03185294766699102,-0.04931668146581923
8.45,8.9,33.94,0.01,-2.16,1.763,1.5966315968010243,1.6291376151200883,-0.09436664957400773,-0.07592874922286537
4.43,3.99,42.96,0.04,-1.96,0.814,0.8344126550272633,0.8287014648859166,0.025076971777964748,0.018060767673116235
5.98,6.72,17.16,0.06,-2.3,1.219,1.1280159332826785,1.2030456168458057,-0.07463828278697425,-0.013088091184736993
31.9,17.88,56.82,0.02,-1.74,7.243,6.066787006928678,5.548846580809266,-0.16239306821363006,-0.23390217025966237
5.32,5.95,24.95,0.05,-2.23,0.969,1.0029457052650381,1.0279537705486872,0.03503168758001873,0.06083980448780931
8.95,9.99,24.53,0.04,-2.27,1.726,1.6915821019418924,1.7948040436595292,-0.019940844761360127,0.039863292966123516
6.0,6.46,31.97,0.02,-2.16,0.988,1.1318070333907753,1.1561210323052027,0.1455536775210276,0.17016298816316064
5.1,4.59,43.92,0.05,-1.95,0.83,0.9612720473776982,0.9656582379600303,0.1581590932261425,0.1634436601928076
4.06,4.21,34.75,0.02,-2.1,0.738,0.7643953619649134,0.7813170711789171,0.035766073123188934,0.05869521839961673
6.15,6.05,37.46,0.01,-2.08,1.357,1.1602422391530496,1.1449529052500864,-0.14499466532568195,-0.15626167630796872
11.35,12.43,21.57,0.04,-2.3,2.11,2.147683183272871,2.1930887701169977,0.01785932856534171,0.03937856403649184
5.54,4.85,43.93,0.06,-1.95,1.156,1.0446277901230154,1.0059266822340371,-0.09634274210811808,-0.12982120914010623
10.3,10.41,35.21,0.01,-2.15,1.473,1.948074260903783,1.9124219999372125,0.32252156205280585,0.2983177188983112
6.24,6.26,25.11,0.05,-2.23,0.956,1.1773049953130992,1.0704266053014573,0.2314905808714427,0.11969310177976708
8.94,9.02,37.95,0.0,-2.1,1.515,1.6896828327633804,1.7094897357604144,0.11530219984381551,0.1283760632081944
8.8,8.82,33.96,0.01,-2.16,1.855,1.6630941599215603,1.6079499438407125,-0.10345328306115348,-0.13318062326646224
9.66,10.12,37.11,0.0,-2.12,1.761,1.8264560646548984,1.9540728497991757,0.03716982660698382,0.10963818841520491
3.86,3.79,37.89,0.01,-2.04,0.657,0.7265609925090448,0.7182836265107699,0.10587670092700882,0.09327797033602725
14.29,11.77,48.74,0.11,-1.91,2.764,2.7070455393099015,2.8802700538985597,-0.020605810669355372,0.04206586609933428
16.23,16.26,38.71,0.0,-2.13,2.533,3.076465805188176,3.201314392246322,0.2145542065488259,0.26384302891682676
10.2,10.85,30.49,0.02,-2.21,1.942,1.929068922545248,1.9392921307286333,-0.006658639266092673,-0.0013943714064709994
11.29,11.42,36.73,0.0,-2.13,1.57,2.1362744442585564,2.189141140885625,0.3606843594003543,0.39435741457683127
12.21,13.0,29.35,0.02,-2.24,3.028,2.3112401080369698,2.4072436560511146,-0.2367106644527841,-0.20500539760531225
12.86,11.42,45.14,0.07,-1.99,1.724,2.434896322708261,2.4756970007168957,0.41235285539922345,0.4360191419471553
7.6,4.58,56.8,0.03,-1.61,1.541,1.4352797054201805,1.4646093870291605,-0.06860499323803988,-0.04957210445868876
